Unnamed: 0,anime_id,episodes,genre,members,name,rating,type
26.0,17074,26,"Comedy, Mystery, Romance, Supernatural, Vampire",205959.0,Monogatari Series Second Season,8.8,TV
27.0,21939,10,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",101351.0,Mushishi Zoku Shou,8.8,TV
28.0,457,26,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",300030.0,Mushishi,8.78,TV
29.0,2001,27,"Action, Adventure, Comedy, Mecha, Sci-Fi",562962.0,Tengen Toppa Gurren Lagann,8.78,TV
30.0,245,43,"Comedy, Drama, School, Shounen, Slice of Life",268487.0,Great Teacher Onizuka,8.77,TV
31.0,32983,13,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",38865.0,Natsume Yuujinchou Go,8.76,TV
32.0,5258,26,"Comedy, Drama, Shounen, Sports",88995.0,Hajime no Ippo New Challenger,8.75,TV
33.0,28957,1,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",32266.0,Mushishi Zoku Shou Suzu no Shizuku,8.75,Movie
34.0,11665,13,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",98431.0,Natsume Yuujinchou Shi,8.75,TV
35.0,431,1,"Adventure, Drama, Fantasy, Romance",333186.0,Howl no Ugoku Shiro,8.74,Movie
36.0,11741,12,"Action, Fantasy, Supernatural, Thriller",340973.0,Fate Zero 2nd Season,8.73,TV
37.0,31757,1,"Action, Mystery, Supernatural, Vampire",34347.0,Kizumonogatari II Nekketsu hen,8.73,Movie
38.0,19,74,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller",247562.0,Monster,8.72,TV
39.0,12365,25,"Comedy, Drama, Romance, Shounen",133620.0,Bakuman 3rd Season,8.71,TV
40.0,1535,37,"Mystery, Police, Psychological, Supernatural, Thriller",1013917.0,Death Note,8.71,TV
41.0,32366,2,"Comedy, Parody",16947.0,Gintama Aizome Kaori hen,8.69,OVA
42.0,30654,25,"Action, Comedy, School, Shounen",176475.0,Ansatsu Kyoushitsu TV 2nd Season,8.68,TV
43.0,20583,25,"Comedy, Drama, School, Shounen, Sports",284498.0,Haikyuu ,8.68,TV
44.0,19647,25,"Comedy, Drama, Shounen, Sports",66756.0,Hajime no Ippo Rising,8.68,TV
45.0,4282,1,"Action, Drama, Mystery, Romance, Supernatural, Thriller",111074.0,Kara no Kyoukai 5 Mujun Rasen,8.68,Movie
46.0,10379,13,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",102322.0,Natsume Yuujinchou San,8.67,TV
47.0,22135,11,"Psychological, Seinen, Sports",97187.0,Ping Pong The Animation,8.67,TV
48.0,21329,1,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",49036.0,Mushishi Special Hihamukage,8.66,Special
49.0,31043,12,"Mystery, Psychological, Seinen, Supernatural",402381.0,Boku dake ga Inai Machi,8.65,TV
50.0,7785,11,"Mystery, Psychological, Romance",122531.0,Yojouhan Shinwa Taikei,8.65,TV
51.0,3297,13,"Fantasy, Sci-Fi, Shounen, Slice of Life",56162.0,Aria The Origination,8.64,TV
52.0,30709,4,"Comedy, Demons, Fantasy, Shoujo, Supernatural",33422.0,Kamisama Hajimemashita Kako hen,8.64,OVA
53.0,6114,26,"Drama, Historical, Seinen, Thriller",139474.0,Rainbow Nisha Rokubou no Shichinin,8.64,TV
54.0,31240,25,"Drama, Fantasy, Psychological, Thriller",355839.0,Re Zero kara Hajimeru Isekai Seikatsu,8.64,TV
55.0,4565,1,"Action, Mecha, Sci-Fi, Space, Super Power",82253.0,Tengen Toppa Gurren Lagann Movie Lagann hen,8.64,Movie
56.0,5300,13,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",114173.0,Zoku Natsume Yuujinchou,8.64,TV
57.0,9989,11,"Drama, Slice of Life, Supernatural",463835.0,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai ,8.62,TV
58.0,24415,25,"Comedy, School, Shounen, Sports",184525.0,Kuroko no Basket 3rd Season,8.62,TV
59.0,11577,1,"Sci-Fi, Thriller",192424.0,Steins Gate Movie Fuka Ryouiki no D j vu,8.61,Movie
60.0,10408,1,"Drama, Romance, Shoujo, Supernatural",197439.0,Hotarubi no Mori e,8.61,Movie
61.0,28171,24,"Ecchi, School, Shounen",348951.0,Shokugeki no Souma,8.61,TV
62.0,32995,12,"Comedy, Sports",103178.0,Yuri on Ice,8.61,TV
63.0,21899,2,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",11104.0,Gintama Yorinuki Gintama san on Theater 2D,8.6,Movie
64.0,26055,24,"Action, Adventure, Drama, Shounen, Supernatural",93657.0,JoJo no Kimyou na Bouken Stardust Crusaders 2nd Season,8.6,TV
65.0,7472,1,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",51185.0,Gintama Movie Shinyaku Benizakura hen,8.59,Movie
66.0,777,10,"Action, Horror, Military, Seinen, Supernatural, Vampire",297454.0,Hellsing Ultimate,8.59,OVA
67.0,22535,24,"Action, Drama, Horror, Psychological, Sci-Fi, Seinen",425457.0,Kiseijuu Sei no Kakuritsu,8.59,TV
68.0,28735,13,"Drama, Historical, Josei",71295.0,Shouwa Genroku Rakugo Shinjuu,8.59,TV
69.0,12431,99,"Comedy, Sci-Fi, Seinen, Slice of Life, Space",72958.0,Uchuu Kyoudai,8.59,TV
70.0,28805,1,"Adventure, Supernatural",80825.0,Bakemono no Ko,8.58,Movie
71.0,578,1,"Drama, Historical",174878.0,Hotaru no Haka,8.58,Movie
72.0,16894,25,"Comedy, School, Shounen, Sports",243325.0,Kuroko no Basket 2nd Season,8.58,TV
73.0,5028,25,"Comedy, Drama, Romance, Sports",28653.0,Major S5,8.58,TV
74.0,21,784,"Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power",504862.0,One Piece,8.58,TV
75.0,801,26,"Action, Mecha, Military, Mystery, Police, Sci-Fi, Seinen",113993.0,Ghost in the Shell Stand Alone Complex 2nd GIG,8.57,TV
76.0,31933,39,"Action, Adventure, Comedy, Drama, Shounen, Supernatural",74074.0,JoJo no Kimyou na Bouken Diamond wa Kudakenai,8.57,TV
77.0,5205,1,"Action, Mystery, Romance, Supernatural, Thriller",95658.0,Kara no Kyoukai 7 Satsujin Kousatsu Kou ,8.57,Movie
78.0,17389,39,"Action, Historical, Military, Seinen",31234.0,Kingdom 2nd Season,8.57,TV
79.0,170,101,"Comedy, Drama, School, Shounen, Sports",82570.0,Slam Dunk,8.56,TV
80.0,10162,11,"Josei, Slice of Life",194855.0,Usagi Drop,8.56,TV
81.0,18617,1,"Military, School",25641.0,Girls und Panzer der Film,8.55,Movie
82.0,32182,12,"Action, Comedy, Slice of Life, Supernatural",193716.0,Mob Psycho 100,8.55,TV
83.0,877,47,"Comedy, Drama, Music, Romance, Shoujo, Slice of Life",197256.0,Nana,8.55,TV
84.0,2251,13,"Action, Comedy, Historical, Mystery, Seinen, Supernatural",363215.0,Baccano ,8.54,TV
85.0,24687,1,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",34011.0,Mushishi Zoku Shou Odoro no Michi,8.54,Special
86.0,16498,25,"Action, Drama, Fantasy, Shounen, Super Power",896229.0,Shingeki no Kyojin,8.54,TV
87.0,10030,25,"Comedy, Drama, Romance, Shounen",151561.0,Bakuman 2nd Season,8.53,TV
88.0,5941,50,"Comedy, Drama, Romance, School, Sports",53108.0,Cross Game,8.53,TV
89.0,30346,1,"Romance, School, Shounen Ai, Slice of Life",28864.0,Doukyuusei Movie ,8.53,Movie
90.0,3784,1,"Action, Mecha, Sci-Fi",182224.0,Evangelion 2 0 You Can Not Advance,8.53,Movie
91.0,13125,25,"Drama, Horror, Mystery, Sci-Fi, Supernatural",288376.0,Shinsekai yori,8.53,TV
92.0,12029,26,"Action, Drama, Military, Sci-Fi, Space",44223.0,Uchuu Senkan Yamato 2199,8.53,OVA
93.0,14397,25,"Drama, Game, Josei, Slice of Life, Sports",86074.0,Chihayafuru 2,8.52,TV
94.0,10087,13,"Action, Fantasy, Supernatural",453630.0,Fate Zero,8.51,TV
95.0,14719,26,"Action, Adventure, Shounen, Supernatural, Vampire",190197.0,JoJo no Kimyou na Bouken TV ,8.51,TV
96.0,9756,12,"Drama, Magic, Psychological, Thriller",462974.0,Mahou Shoujo Madoka Magica,8.51,TV
97.0,10165,26,"Comedy, School, Slice of Life",254436.0,Nichijou,8.52,TV
98.0,13601,22,"Action, Police, Psychological, Sci-Fi",509109.0,Psycho Pass,8.5,TV
99.0,22789,12,"Comedy, Slice of Life",225927.0,Barakamon,8.5,TV
100.0,30230,51,"Comedy, School, Shounen, Sports",38531.0,Diamond no Ace Second Season,8.5,TV
101.0,18115,25,"Action, Adventure, Fantasy, Magic, Shounen",245026.0,Magi The Kingdom of Magic,8.5,TV
102.0,11981,1,"Drama, Magic, Psychological, Thriller",135735.0,Mahou Shoujo Madoka Magica Movie 3 Hangyaku no Monogatari,8.5,Movie
103.0,11917,2,"Comedy, Drama, Sports",13405.0,Major World Series,8.5,OVA
104.0,205,26,"Action, Adventure, Comedy, Historical, Samurai, Shounen",390076.0,Samurai Champloo,8.5,TV
105.0,32282,13,"Ecchi, School, Shounen",185015.0,Shokugeki no Souma Ni no Sara,8.5,TV
106.0,6594,12,"Action, Adventure, Historical, Martial Arts, Romance",207241.0,Katanagatari,8.49,TV
107.0,11979,1,"Drama, Magic, Psychological, Thriller",85361.0,Mahou Shoujo Madoka Magica Movie 2 Eien no Monogatari,8.49,Movie
108.0,7655,25,"Comedy, Drama, Sports",24788.0,Major S6,8.49,TV
109.0,2246,12,"Demons, Fantasy, Historical, Horror, Mystery, Seinen, Supernatural",88850.0,Mononoke,8.49,TV
110.0,25835,24,"Comedy, Drama",146895.0,Shirobako,8.49,TV
111.0,2921,47,"Drama, Sports",6259.0,Ashita no Joe 2,8.48,TV
112.0,136,62,"Action, Adventure, Shounen, Super Power",166255.0,Hunter x Hunter,8.48,TV
113.0,30503,13,"Action, Adventure, Shounen, Supernatural",299434.0,Noragami Aragoto,8.48,TV
114.0,12531,12,"Drama, Josei, Music, Romance, School",146592.0,Sakamichi no Apollon,8.48,TV
115.0,523,1,"Adventure, Comedy, Supernatural",271484.0,Tonari no Totoro,8.48,Movie
116.0,467,26,"Action, Mecha, Military, Police, Sci-Fi, Seinen",194491.0,Ghost in the Shell Stand Alone Complex,8.47,TV
117.0,572,1,"Adventure, Fantasy",143273.0,Kaze no Tani no Nausica ,8.47,Movie
118.0,19815,12,"Adventure, Comedy, Ecchi, Fantasy, Game, Supernatural",602291.0,No Game No Life,8.47,TV
119.0,2559,33,"Adventure, Drama, Historical, Slice of Life",15074.0,Romeo no Aoi Sora,8.47,TV
120.0,392,112,"Action, Comedy, Demons, Fantasy, Martial Arts, School, Shounen",195017.0,Yuu Yuu Hakusho,8.47,TV
121.0,486,13,"Action, Adventure, Slice of Life",102822.0,Kino no Tabi The Beautiful World,8.46,TV
122.0,11771,25,"Comedy, School, Shounen, Sports",338315.0,Kuroko no Basket,8.46,TV
123.0,1698,23,"Comedy, Drama, Josei, Music, Romance, Slice of Life",157025.0,Nodame Cantabile,8.46,TV
124.0,5341,12,"Adventure, Fantasy, Historical, Romance",210491.0,Ookami to Koushinryou II,8.46,TV
125.0,25781,2,"Action, Fantasy, Shoujo, Supernatural",92543.0,Shingeki no Kyojin Kuinaki Sentaku,8.45,OVA
126.0,10863,1,"Sci-Fi, Thriller",159548.0,Steins Gate Oukoubakko no Poriomania,8.46,Special
127.0,28701,13,"Action, Fantasy, Magic, Shounen, Supernatural",205987.0,Fate stay night Unlimited Blade Works 2nd Season,8.45,TV
128.0,5420,50,"Drama, Fantasy",36751.0,Kemono no Souja Erin,8.45,TV
129.0,9260,1,"Mystery, Supernatural, Vampire",99579.0,Kizumonogatari I Tekketsu hen,8.45,Movie
130.0,32,1,"Dementia, Drama, Mecha, Psychological, Sci-Fi",215630.0,Neon Genesis Evangelion The End of Evangelion,8.45,Movie
131.0,4224,25,"Comedy, Romance, School, Slice of Life",633817.0,Toradora ,8.45,TV
132.0,2236,1,"Adventure, Drama, Romance, Sci-Fi",289206.0,Toki wo Kakeru Shoujo,8.44,Movie
133.0,2685,3,"Action, Adventure, Drama, Fantasy, Romance, Shounen",57963.0,Tsubasa Tokyo Revelations,8.44,OVA
134.0,31181,12,"Comedy, Mystery, Supernatural",107855.0,Owarimonogatari,8.43,TV
135.0,45,94,"Action, Adventure, Comedy, Historical, Romance, Samurai",218928.0,Rurouni Kenshin Meiji Kenkaku Romantan,8.43,TV
136.0,2418,1,"Action, Adventure, Historical, Samurai",125503.0,Stranger Mukou Hadan,8.43,Movie
137.0,1365,1,"Adventure, Mystery, Police, Shounen",28462.0,Detective Conan Movie 06 The Phantom of Baker Street,8.42,Movie
138.0,22297,12,"Action, Fantasy, Magic, Shounen, Supernatural",267484.0,Fate stay night Unlimited Blade Works,8.42,TV
139.0,627,26,"Comedy, Drama, Shounen, Sports",41061.0,Major S1,8.42,TV
140.0,10937,6,"Action, Mecha, Military, Sci-Fi, Shounen, Space",15420.0,Mobile Suit Gundam The Origin,8.42,OVA
141.0,23755,24,"Action, Adventure, Ecchi, Fantasy, Shounen, Supernatural",331627.0,Nanatsu no Taizai,8.42,TV
142.0,4081,13,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",210736.0,Natsume Yuujinchou,8.42,TV
143.0,4155,1,"Action, Adventure, Comedy, Drama, Fantasy, Shounen",85020.0,One Piece Film Strong World,8.42,Movie
144.0,1889,24,"Mystery, Psychological, Supernatural, Thriller",218101.0,Higurashi no Naku Koro ni Kai,8.41,TV
145.0,137,8,"Action, Adventure, Shounen, Super Power",53168.0,Hunter x Hunter OVA,8.41,OVA
146.0,139,14,"Action, Adventure, Shounen, Super Power",55787.0,Hunter x Hunter Greed Island Final,8.41,OVA
147.0,23317,2,"Comedy, Demons, Fantasy, Historical, Mystery, Shounen, Supernatural",67261.0,Kuroshitsuji Book of Murder,8.41,OVA
148.0,558,26,"Comedy, Drama, Shounen, Sports",30689.0,Major S2,8.41,TV
149.0,5040,25,"Psychological, Seinen, Sports",83056.0,One Outs,8.41,TV
150.0,57,26,"Comedy, Drama, Music, Shounen, Slice of Life",148328.0,Beck,8.4,TV
151.0,33,25,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural",226430.0,Berserk,8.4,TV
152.0,5,1,"Action, Drama, Mystery, Sci-Fi, Space",137636.0,Cowboy Bebop Tengoku no Tobira,8.4,Movie
153.0,1842,26,"Drama, Shounen, Sports",29528.0,Major S3,8.4,TV
154.0,6336,7,"Action, Drama, Mecha, Military, Sci-Fi, Space",42076.0,Mobile Suit Gundam Unicorn,8.4,OVA
155.0,20651,1,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",28302.0,Natsume Yuujinchou Itsuka Yuki no Hi ni,8.4,OVA
156.0,1210,24,"Comedy, Drama, Psychological, Romance",291228.0,NHK ni Youkoso ,8.4,TV
157.0,338,40,"Adventure, Drama, Historical, Romance, Shoujo",32188.0,Rose of Versailles,8.4,TV
158.0,13759,24,"Comedy, Drama, Romance, School, Slice of Life",380375.0,Sakurasou no Pet na Kanojo,8.4,TV
159.0,6547,13,"Action, Comedy, Drama, School, Supernatural",717796.0,Angel Beats ,8.39,TV
160.0,5081,15,"Mystery, Romance, Supernatural, Vampire",482268.0,Bakemonogatari,8.39,TV
161.0,32867,12,"Mystery, Seinen, Supernatural",83641.0,Bungou Stray Dogs 2nd Season,8.39,TV
162.0,264,1,"Comedy, Shounen, Sports",47840.0,Hajime no Ippo Champion Road,8.39,Special
163.0,12859,1,"Action, Adventure, Comedy, Drama, Fantasy, Shounen",76051.0,One Piece Film Z,8.39,Movie
164.0,853,26,"Comedy, Harem, Romance, School, Shoujo",422271.0,Ouran Koukou Host Club,8.39,TV
165.0,5460,1,"Action, Mystery, Police, Shounen",21798.0,Detective Conan Movie 13 The Raven Chaser,8.38,Movie
166.0,6746,24,"Action, Mystery, Supernatural",556431.0,Durarara ,8.38,TV
167.0,5690,11,"Comedy, Josei, Music, Romance",67697.0,Nodame Cantabile Finale,8.38,TV
168.0,329,26,"Drama, Romance, Sci-Fi, Seinen, Space",105044.0,Planetes,8.38,TV
169.0,34240,1,"Music, Sci-Fi",71136.0,Shelter,8.38,Music
170.0,513,1,"Adventure, Fantasy, Romance, Sci-Fi",151061.0,Tenkuu no Shiro Laputa,8.38,Movie
171.0,6945,1,"Action, Comedy, Historical, Parody, Sci-Fi",27213.0,Gintama Shiroyasha Koutan,8.37,Special
172.0,1142,12,"Drama, Josei, Romance",61493.0,Hachimitsu to Clover II,8.37,TV
173.0,6811,26,"Action, Adventure, Comedy, Demons, Fantasy, Magic, Romance, Shounen, Supernatural",99128.0,InuYasha Kanketsu hen,8.37,TV
174.0,16664,1,"Fantasy, Historical",45547.0,Kaguya hime no Monogatari,8.37,Movie
175.0,1604,203,"Action, Comedy, Shounen, Super Power",258103.0,Katekyo Hitman Reborn ,8.37,TV
176.0,22145,10,"Comedy, Demons, Fantasy, Historical, Shounen, Supernatural",122895.0,Kuroshitsuji Book of Circus,8.37,TV
177.0,2966,13,"Adventure, Fantasy, Historical, Romance",334932.0,Ookami to Koushinryou,8.37,TV
178.0,31964,13,"Action, Comedy, School, Shounen, Super Power",282002.0,Boku no Hero Academia,8.36,TV
179.0,19363,11,"Comedy, School, Shounen, Slice of Life",67032.0,Gin no Saji 2nd Season,8.36,TV
180.0,18195,13,"Comedy, Drama, Romance, School, Slice of Life, Supernatural",71820.0,Little Busters Refrain,8.36,TV
181.0,9890,1,"Comedy, Drama, Sports",12282.0,Major Message,8.36,OVA
182.0,9130,13,"Action, Adventure, Martial Arts, Shounen, Super Power, Supernatural",27532.0,Saint Seiya The Lost Canvas Meiou Shinwa 2,8.36,OVA
183.0,9863,77,"Comedy, School, Shounen",101027.0,SKET Dance,8.36,TV
184.0,7674,25,"Comedy, Romance, Shounen",246899.0,Bakuman ,8.35,TV
185.0,11843,12,"Comedy, School, Shounen, Slice of Life",258914.0,Danshi Koukousei no Nichijou,8.35,TV
186.0,16782,1,"Drama, Psychological, Romance, Slice of Life",189741.0,Kotonoha no Niwa,8.35,Movie
187.0,28675,1,"Fantasy, Slice of Life, Supernatural",59815.0,Kyoukai no Kanata Movie I 039 ll Be Here Mirai hen,8.35,Movie
188.0,3226,26,"Comedy, Drama, Shounen, Sports",28002.0,Major S4,8.35,TV
189.0,21557,1,"Drama, Mystery, Psychological",53590.0,Omoide no Marnie,8.35,Movie
190.0,31715,1,"Comedy, Romance, Slice of Life",31856.0,Working Lord of the Takanashi,8.34,Special
191.0,43,1,"Action, Mecha, Police, Psychological, Sci-Fi, Seinen",223036.0,Ghost in the Shell,8.34,Movie
192.0,9617,1,"Comedy, Music, Slice of Life",115252.0,K On Movie,8.34,Movie
193.0,31051,1,"Action, School, Shounen, Sports",22900.0,Kuroko no Basket Saikou no Present Desu,8.34,Special
194.0,10153,1,"Action, Comedy, Drama, Magic, Super Power",13315.0,Mahou Shoujo Lyrical Nanoha The Movie 2nd A 039 s,8.34,Movie
195.0,1033,1,"Action, Adventure, Drama, Fantasy, Historical, Romance",58492.0,Sennen Joyuu,8.34,Movie
196.0,32188,1,"Sci-Fi, Thriller",38147.0,Steins Gate Kyoukaimenjou no Missing Link Divide By Zero,8.34,Special
197.0,3091,13,"Comedy, Drama, Mystery, Psychological, Supernatural",74941.0,xxxHOLiC Kei,8.34,TV
198.0,12115,1,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Seinen, Supernatural",65594.0,Berserk Ougon Jidai hen III Kourin,8.33,Movie
199.0,28223,12,"Drama, Game, Mystery, Psychological, Thriller",383914.0,Death Parade,8.33,TV
200.0,121,51,"Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen",600384.0,Fullmetal Alchemist,8.33,TV
201.0,3002,26,"Game, Psychological, Seinen, Thriller",98996.0,Gyakkyou Burai Kaiji Ultimate Survivor,8.33,TV
202.0,138,8,"Action, Adventure, Shounen, Super Power",57029.0,Hunter x Hunter Greed Island,8.33,OVA
203.0,6675,1,"Action, Cars, Sci-Fi, Sports",109392.0,Redline,8.33,Movie
204.0,10800,25,"Drama, Game, Josei, Slice of Life, Sports",158561.0,Chihayafuru,8.32,TV
205.0,32005,1,"Action, Mystery, Police, Shounen",6229.0,Detective Conan Movie 20 The Darkest Nightmare,8.32,Movie
206.0,813,291,"Action, Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power",375662.0,Dragon Ball Z,8.32,TV
207.0,27821,1,"Action, Fantasy, Magic, Shounen, Supernatural",106382.0,Fate stay night Unlimited Blade Works Prologue,8.32,Special
208.0,28725,1,"Drama, Romance, School",59652.0,Kokoro ga Sakebitagatterunda ,8.32,Movie
209.0,585,1,"Adventure, Drama, Fantasy, Romance, Slice of Life",94435.0,Mimi wo Sumaseba,8.32,Movie
210.0,16067,26,"Drama, Fantasy, Romance",224947.0,Nagi no Asukara,8.32,TV
211.0,30,26,"Action, Dementia, Drama, Mecha, Psychological, Sci-Fi",461946.0,Neon Genesis Evangelion,8.32,TV
212.0,31490,1,"Action, Adventure, Comedy, Drama, Fantasy, Shounen",18642.0,One Piece Film Gold,8.32,Movie
213.0,759,1,"Comedy, Drama",89424.0,Tokyo Godfathers,8.32,Movie
214.0,6,26,"Action, Comedy, Sci-Fi",283069.0,Trigun,8.32,TV
215.0,6864,2,"Mystery, Supernatural",36353.0,xxxHOLiC Rou,8.32,OVA
216.0,9735,1,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",14002.0,Gintama Shinyaku Benizakura hen,8.31,Special
217.0,11977,1,"Drama, Magic, Psychological, Thriller",88164.0,Mahou Shoujo Madoka Magica Movie 1 Hajimari no Monogatari,8.31,Movie
218.0,11123,12,"Comedy, Drama, Romance, Shounen Ai",69253.0,Sekaiichi Hatsukoi 2,8.31,TV
219.0,23847,13,"Comedy, Drama, Romance, School",222994.0,Yahari Ore no Seishun Love Comedy wa Machigatteiru Zoku,8.31,TV
220.0,33161,1,"Comedy, Romance, School",35120.0,Yahari Ore no Seishun Love Comedy wa Machigatteiru Zoku OVA,8.31,OVA
221.0,962,26,"Fantasy, Sci-Fi, Shounen, Slice of Life",39596.0,Aria The Natural,8.3,TV
222.0,1519,12,"Action, Seinen",203233.0,Black Lagoon The Second Barrage,8.3,TV
223.0,2167,23,"Comedy, Drama, Romance, School, Slice of Life, Supernatural",566690.0,Clannad,8.3,TV
224.0,16706,12,"Comedy, Harem, Romance, Shounen, Supernatural",142612.0,Kami nomi zo Shiru Sekai Megami hen,8.3,TV
225.0,5681,1,"Comedy, Sci-Fi",223359.0,Summer Wars,8.3,Movie
226.0,3901,3,"Action, Comedy, Historical, Mystery, Seinen, Supernatural",100412.0,Baccano Specials,8.29,Special
227.0,6467,1,"Action, Mystery, Police, Shounen",20602.0,Detective Conan Movie 14 The Lost Ship in the Sky,8.29,Movie
228.0,10271,26,"Game, Psychological, Seinen, Thriller",55566.0,Gyakkyou Burai Kaiji Hakairoku hen,8.29,TV
229.0,22507,4,"Cars, Seinen, Sports",19702.0,Initial D Final Stage,8.29,TV
230.0,3701,12,"Adventure, Mystery, Romance, Sci-Fi",56927.0,Kaiba,8.29,TV
231.0,19123,1,"Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power",17247.0,One Piece Episode of Merry Mou Hitori no Nakama no Monogatari,8.29,Special
232.0,33255,120,"Comedy, School, Shounen, Supernatural",47092.0,Saiki Kusuo no nan TV ,8.29,TV
233.0,372,1,"Comedy, Drama, Fantasy, Magic, Romance, Shoujo",60637.0,Cardcaptor Sakura Movie 2 Fuuin Sareta Card,8.28,Movie
234.0,265,1,"Comedy, Shounen, Sports",40623.0,Hajime no Ippo Mashiba vs Kimura,8.28,OVA
235.0,25681,12,"Comedy, Demons, Fantasy, Romance, Shoujo, Supernatural",91796.0,Kamisama Hajimemashita ,8.28,TV
236.0,4722,25,"Comedy, Drama, Romance, Shoujo",134818.0,Skip Beat ,8.28,TV
237.0,24277,24,"Comedy, Drama, Shounen, Sports",50778.0,Yowamushi Pedal Grande Road,8.28,TV
238.0,239,24,"Drama, Mystery, Sci-Fi, Supernatural, Thriller",103828.0,Gankutsuou,8.27,TV
239.0,512,1,"Adventure, Comedy, Drama, Fantasy, Magic, Romance",152331.0,Majo no Takkyuubin,8.27,Movie
